City,Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
Sơn La,0.5252008765522279,1.0,0.0,0.375,0.0,Have certificate,0.1285714285714286
Hải Phòng,0.6347699050401753,0.875,0.3333333333333333,0.375,0.625,Have certificate,0.4571428571428571
Sơn La,0.6055514974433893,0.375,0.1666666666666666,1.0,0.125,Have certificate,0.6285714285714284
Tuyên Quang,0.4886778670562454,0.5,0.3333333333333333,0.625,0.625,Have certificate,0.1619047619047619
Vĩnh Long,0.8539079620160701,0.625,0.6666666666666666,0.375,0.375,Have certificate,0.8571428571428571
Tuyên Quang,0.2826880934989043,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.1761904761904761
Tphcm,0.3323593864134405,0.5,0.3333333333333333,0.125,0.125,Have certificate,0.1857142857142857
Bình Dương,0.3864134404674945,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.3476190476190476
Hà Giang,0.2111029948867786,0.5,0.3333333333333333,0.375,0.625,Have certificate,0.2476190476190476
Vĩnh Long,1.0,0.5,0.3333333333333333,0.625,0.875,Have certificate,0.3333333333333333
Phú Thọ,0.2841490138787436,0.7749999999999999,0.6666666666666666,0.375,0.625,Have certificate,0.7142857142857143
Hà Giang,0.8100803506208911,0.875,0.6666666666666666,0.375,0.375,Have certificate,0.7142857142857143
Bình Dương,0.364499634769905,0.5,0.1666666666666666,0.625,0.375,Have certificate,0.3190476190476189
Hậu Giang,0.2184075967859751,0.1999999999999999,0.5,0.625,0.625,Have certificate,0.4190476190476191
Phú Thọ,0.4740686632578524,0.375,0.3333333333333333,0.375,0.375,Sale contract,0.7142857142857143
Lâm Đồng,0.2695398100803506,0.4375,0.6666666666666666,0.625,0.625,Have certificate,0.5047619047619047
Hải Phòng,0.5032870708546384,0.5,0.3333333333333333,0.625,0.625,Have certificate,0.7
Vĩnh Long,0.2695398100803506,0.5,0.0,0.125,0.125,Have certificate,0.1285714285714286
Thừa Thiên Huế,0.1234477720964207,0.5,0.3333333333333333,0.125,0.125,Have certificate,0.1714285714285713
Thừa Thiên Huế,0.6420745069393717,0.625,0.3333333333333333,0.375,0.375,Sale contract,0.238095238095238
Tuyên Quang,0.3060628195763331,0.375,0.6666666666666666,0.375,0.375,Have certificate,0.3333333333333333
Bình Thuận,0.3571950328707085,0.5,0.5,0.625,0.375,Have certificate,0.5904761904761905
Bình Định,0.2257121986851716,0.5,0.5,0.375,0.625,Have certificate,0.1857142857142857
Bình Dương,0.7991234477720964,0.625,0.3333333333333333,0.875,0.375,Have certificate,0.3714285714285714
Thừa Thiên Huế,1.0,1.0,0.1666666666666666,0.625,0.375,Sale contract,0.7619047619047619
Nam Từ Liêm,0.2257121986851716,0.4375,0.3333333333333333,0.375,0.375,Have certificate,0.1047619047619047
Đường Số 11,0.6961285609934259,0.5,0.0,0.375,0.125,Have certificate,0.018095238095238
Đường Số 11,0.1234477720964207,0.275,0.5,0.375,0.375,Have certificate,0.2476190476190476
Tphcm,0.1701972242512782,0.375,0.3333333333333333,0.125,0.0,Have certificate,0.2714285714285714
Tphcm,0.5252008765522279,0.625,0.5,0.375,0.375,Have certificate,0.3190476190476189
Hải Phòng,0.4156318480642805,0.625,0.3333333333333333,0.625,0.875,Have certificate,0.438095238095238
Sơn La,0.349890430971512,0.425,0.1666666666666666,0.375,0.625,Have certificate,0.4761904761904761
Thừa Thiên Huế,0.2330168005843681,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.4428571428571428
